k,T,lb,n_N,N_max,lcc_pct,lcc_src,transitivity,uv_shoulder,ir_plateau,ir_flatness,uv_conf,uv_resid_vs_4Dtorus,ir_resid_vs_4Dtorus,flat_score,flow_score,ir_dir,uv_dir,flat_dir,verdict,N_list
9,0.004,0.995,1,16000,99.8,meta,0.1201,2.145,2.464,0.224,in_window,0.039,-1.449,0.0,0.0,?,?,?,neither,16000
9,0.004,0.9,1,16000,100.0,meta,0.1293,2.160,5.302,0.802,in_window,0.049,2.895,0.0,0.0,?,?,?,neither,16000
9,0.005,0.95,3,256000,100.0,meta,0.1024,2.123,5.857,1.185,in_window,0.055,5.100,0.0,0.0,flat,flat,up,neither,16000;64000;256000
9,0.005,0.995,3,256000,99.8,meta,0.1263,2.129,2.506,0.491,in_window,0.034,-0.989,0.0,0.0,flat,flat,up,neither,16000;64000;256000
9,0.005,0.9,3,256000,100.0,meta,0.1104,2.159,5.959,1.409,in_window,0.053,5.864,0.0,0.0,flat,flat,up,neither,16000;64000;256000
9,0.015,0.95,3,256000,100.0,meta,0.0004,2.184,6.852,1.671,in_window,0.062,7.138,0.0,0.0,up,flat,up,neither,16000;64000;256000
9,0.015,0.995,3,256000,100.0,meta,0.0028,2.163,6.779,1.649,in_window,0.056,7.005,0.0,0.0,up,flat,up,neither,16000;64000;256000
9,0.015,0.999,3,256000,100.0,meta,0.0043,2.204,7.570,1.629,in_window,0.098,6.919,0.0,0.0,up,flat,up,neither,16000;64000;256000
9,0.015,0.99,3,256000,100.0,meta,0.0019,2.156,6.681,1.666,in_window,0.055,7.052,0.0,0.0,flat,flat,up,neither,16000;64000;256000
9,0.015,0.9,3,256000,100.0,meta,0.0002,2.191,6.973,1.658,in_window,0.065,7.141,0.0,0.0,up,flat,up,neither,16000;64000;256000
9,0.016,0.95,1,16000,100.0,meta,0.0025,2.183,5.841,1.194,in_window,0.049,4.324,0.0,0.0,?,?,?,neither,16000
9,0.016,0.995,1,16000,100.0,meta,0.0050,2.167,5.759,1.189,in_window,0.049,4.291,0.0,0.0,?,?,?,neither,16000
9,0.016,0.999,1,16000,99.6,meta,0.0108,2.199,6.096,1.028,in_window,0.087,3.666,0.0,0.0,?,?,?,neither,16000
9,0.016,0.99,1,16000,100.0,meta,0.0037,2.153,5.768,1.200,in_window,0.050,4.295,0.0,0.0,?,?,?,neither,16000
9,0.016,0.9,1,16000,100.0,meta,0.0013,2.166,5.753,1.192,in_window,0.053,4.303,0.0,0.0,?,?,?,neither,16000
9,0.03,0.95,2,64000,100.0,meta,0.0008,2.160,6.353,1.462,in_window,0.065,5.750,0.0,0.0,flat,flat,up,neither,16000;64000
9,0.03,0.995,2,64000,100.0,meta,0.0036,2.201,6.399,1.457,in_window,0.055,5.806,0.0,0.0,flat,flat,up,neither,16000;64000
9,0.03,0.999,2,64000,100.0,meta,0.0040,2.183,6.623,1.434,in_window,0.100,5.726,0.0,0.0,flat,flat,up,neither,16000;64000
9,0.03,0.99,2,64000,100.0,meta,0.0026,2.207,6.425,1.452,in_window,0.056,5.839,0.0,0.0,flat,flat,up,neither,16000;64000
9,0.03,0.9,2,64000,100.0,meta,0.0005,2.172,6.621,1.459,in_window,0.069,5.783,0.0,0.0,flat,flat,up,neither,16000;64000
9,0.05,0.95,2,64000,100.0,meta,0.0008,2.186,6.469,1.434,in_window,0.078,5.746,0.0,0.0,flat,flat,up,neither,16000;64000
9,0.05,0.995,2,64000,100.0,meta,0.0030,2.210,6.459,1.401,in_window,0.066,5.669,0.0,0.0,flat,flat,up,neither,16000;64000
9,0.05,0.999,2,64000,100.0,meta,0.0037,2.204,6.604,1.442,in_window,0.107,5.738,0.0,0.0,flat,flat,up,neither,16000;64000
9,0.05,0.99,2,64000,100.0,meta,0.0025,2.210,6.351,1.405,in_window,0.065,5.677,0.0,0.0,flat,flat,flat,neither,16000;64000
9,0.05,0.9,2,64000,100.0,meta,0.0005,2.210,6.599,1.429,in_window,0.084,5.791,0.0,0.0,flat,flat,up,neither,16000;64000
9,0.0,0.95,3,256000,100.0,meta,0.1827,2.132,4.813,1.320,in_window,0.057,4.712,0.0,0.0,flat,flat,up,neither,16000;64000;256000
9,0.0,0.999,3,256000,79.4,meta,0.2464,0.619,1.410,0.895,in_window,0.135,4.003,0.0,0.0,up,down,up,REJECT: LCC 79% < 90%,16000;64000;256000
9,0.0,0.99,3,256000,100.0,meta,0.0480,2.118,6.566,0.229,in_window,0.056,2.752,0.0,0.0,flat,flat,up,neither,16000;64000;256000
9,0.0,0.9,3,256000,100.0,meta,0.1465,2.138,5.651,1.408,in_window,0.053,5.645,0.0,0.0,flat,flat,up,neither,16000;64000;256000
